Main_transportation;Distance;Licence;Car_owner;Energy;Frequency_usage;Seniority_car;Budget_car;Quiet;Speed;Robustness;Autonomy;Design;Technology;Ecology;Gender;Location;Age;Income;Purchase_car
Walk;20;Yes;Yes;Petrol;3;6;45000;5;5;5;5;5;5;5;Male;City;25;52500;Yes
Walk;20;Yes;Yes;Petrol;3;6;45000;5;5;5;5;5;5;5;Male;City;25;52500;Yes
Car;5;Yes;Yes;Petrol;7;9;35000;3;4;4;4;5;4;4;Male;City;25;8500;Yes
Metro/Bus;5;No;No;I don't use a car;0;0;15000;5;4;4;4;4;4;5;Female;City;25;8500;No
Car;20;Yes;Yes;Petrol;7;6;5000;5;3;5;3;5;5;5;Female;City;25;23500;Yes
Car;50;Yes;Yes;Electric;4;4;25000;5;4;5;5;4;5;3;Female;Countryside;25;37500;Yes
Car;50;Yes;Yes;Electric;4;4;25000;5;4;5;5;4;5;3;Female;Countryside;25;37500;Yes
Bike/Trotitinette/Roller;20;Yes;No;I don't use a car;0;0;15000;5;2;5;5;4;4;4;Male;City;35;37500;No
Metro/Bus;20;Yes;No;I don't use a car;0;0;25000;5;2;3;4;4;4;3;Female;City;35;37500;Yes
Metro/Bus;20;Yes;Yes;Electric;1;1;25000;5;5;5;5;5;5;5;Male;City;35;60000;Yes
Car;50;Yes;Yes;Diesel;7;8;45000;5;4;5;5;5;5;5;Male;Countryside;55;52500;Yes
Walk;50;Yes;Yes;Petrol;0.5;1;35000;3;4;5;5;5;5;5;Male;City;25;8500;Yes
Bike/Trotitinette/Roller;20;Yes;Yes;Diesel;0.5;1;25000;5;5;5;5;5;4;5;Male;City;25;23500;No
Bike/Trotitinette/Roller;20;No;No;I don't use a car;0;0;35000;5;4;4;5;4;4;5;Male;Countryside;45;37500;Yes
Walk;5;Yes;No;I don't use a car;0;0;5000;1;2;4;4;5;5;5;Female;City;25;37500;No
Bike/Trotitinette/Roller;50;Yes;Yes;Petrol;0.5;4;25000;5;5;5;5;5;5;5;Male;City;35;23500;Yes
Bike/Trotitinette/Roller;20;Yes;No;I don't use a car;0;0;15000;4;4;5;3;4;4;5;Male;Countryside;25;23500;No
Walk;20;Yes;Yes;I don't use a car;0;0;5000;1;5;5;5;5;5;5;Female;City;25;37500;Yes
Bike/Trotitinette/Roller;20;No;No;I don't use a car;0;0;25000;5;5;5;5;5;5;5;Female;City;35;23500;Yes
Bike/Trotitinette/Roller;50;Yes;Yes;Petrol;3;4;25000;5;5;5;4;4;5;5;Male;City;25;37500;Yes
Metro/Bus;20;Yes;Yes;Electric;0.5;4;25000;5;3;4;3;4;4;5;Male;Countryside;25;23500;Yes
Walk;20;Yes;Yes;I don't use a car;0.5;2;5000;5;4;4;5;5;5;5;Male;City;35;23500;Yes
Metro/Bus;20;Yes;Yes;I don't use a car;0.5;1;25000;5;5;5;5;5;5;5;Female;City;25;23500;Yes
Metro/Bus;5;Yes;No;I don't use a car;0;0;5000;2;4;5;4;5;5;3;Male;City;25;37500;Yes
Bike/Trotitinette/Roller;5;Yes;Yes;Petrol;0.5;4;25000;5;4;5;5;5;5;5;Female;City;55;60000;Yes
Bike/Trotitinette/Roller;5;Yes;Yes;Electric;3;4;15000;2;3;5;5;4;4;4;Female;City;55;8500;Yes
Metro/Bus;5;Yes;No;I don't use a car;0;0;15000;5;4;5;5;3;4;3;Female;Countryside;25;8500;Yes
Car;5;Yes;Yes;Diesel;7;9;15000;5;5;5;5;4;3;3;Female;City;25;8500;Yes
Walk;50;Yes;No;Petrol;0;0;5000;2;4;4;4;4;4;4;Male;Countryside;35;37500;Yes
Metro/Bus;20;Yes;Yes;Petrol;4;1;25000;4;5;5;5;5;5;5;Female;Countryside;25;23500;No
Bike/Trotitinette/Roller;50;Yes;Yes;Diesel;4;1;35000;3;4;5;3;2;2;4;Male;City;45;60000;Yes
Bike/Trotitinette/Roller;20;Yes;Yes;Petrol;3;4;25000;4;5;5;5;5;5;5;Male;City;25;37500;Yes
Walk;50;Yes;Yes;Petrol;3;4;25000;5;4;4;3;4;3;4;Male;City;35;37500;Yes
Metro/Bus;50;Yes;Yes;Diesel;0.5;4;25000;5;4;4;5;4;4;5;Female;City;35;37500;Yes
Bike/Trotitinette/Roller;50;Yes;Yes;Hybrid;3;4;25000;4;5;5;5;5;5;5;Female;City;35;37500;Yes
Car;50;Yes;Yes;Petrol;4;4;5000;3;5;3;4;4;3;4;Female;City;35;23500;Yes
Car;20;Yes;Yes;Diesel;7;2;25000;5;2;4;4;4;4;4;Male;City;35;23500;Yes
Car;5;Yes;Yes;Electric;1;4;5000;4;4;4;4;2;3;3;Male;Countryside;25;23500;No
Metro/Bus;20;Yes;Yes;Diesel;3;2;25000;3;4;4;3;4;4;4;Male;Countryside;55;52500;No
Metro/Bus;20;Yes;Yes;Electric;0.5;4;25000;5;3;4;3;4;4;5;Male;Countryside;25;23500;Yes
Walk;20;Yes;Yes;Petrol;1;2;15000;3;4;4;4;5;5;5;Male;Countryside;25;37500;No
Car;50;Yes;Yes;Diesel;3;2;15000;2;3;2;3;3;2;3;Male;City;25;37500;Yes
Metro/Bus;20;Yes;No;I don't use a car;0;0;5000;4;4;4;3;4;4;4;Male;City;25;23500;Yes
Bike/Trotitinette/Roller;5;Yes;Yes;Diesel;1;2;5000;4;3;4;4;4;4;4;Male;City;25;23500;Yes
Metro/Bus;20;Yes;Yes;Petrol;3;4;25000;3;4;3;3;3;4;4;Male;City;25;23500;No
Car;20;Yes;Yes;Diesel;1;4;35000;3;4;4;3;3;4;4;Male;City;35;37500;Yes
Car;50;Yes;Yes;Diesel;1;4;5000;4;3;3;4;3;4;3;Male;City;25;23500;Yes
Metro/Bus;20;Yes;Yes;Diesel;1;2;15000;4;3;3;3;4;4;5;Male;City;25;23500;Yes
Car;20;Yes;Yes;Diesel;3;4;15000;3;4;3;4;3;3;4;Male;City;25;23500;Yes
Bike/Trotitinette/Roller;20;Yes;Yes;Diesel;1;2;15000;3;4;3;3;4;3;3;Male;City;35;23500;Yes
Walk;20;Yes;Yes;Petrol;1;1;15000;4;4;3;3;3;4;4;Male;City;25;23500;Yes
Metro/Bus;5;Yes;Yes;Diesel;4;1;15000;3;3;4;3;3;3;3;Male;Countryside;35;23500;Yes
Metro/Bus;20;Yes;Yes;Diesel;1;2;15000;4;3;4;3;4;3;3;Male;City;35;23500;Yes
Metro/Bus;20;Yes;Yes;Petrol;1;4;15000;4;3;4;4;3;4;4;Male;City;25;23500;Yes
Car;20;Yes;Yes;Petrol;3;2;15000;4;3;4;4;3;4;3;Male;City;25;23500;Yes
Metro/Bus;20;Yes;Yes;Electric;4;2;15000;3;3;3;4;3;3;4;Male;City;25;23500;Yes
Car;20;No;Yes;Petrol;3;6;25000;5;5;3;5;3;5;5;Female;City;25;37500;Yes
Car;50;Yes;Yes;Petrol;7;9;25000;4;5;5;5;3;3;2;Male;Countryside;55;52500;No
Car;50;Yes;Yes;Hybrid;7;4;25000;5;3;4;4;5;4;4;Female;Countryside;55;52500;No
Bike/Trotitinette/Roller;5;Yes;Yes;Hybrid;3;1;45000;5;5;5;3;5;5;4;Male;City;35;52500;Yes
Metro/Bus;5;Yes;Yes;Petrol;0.5;8;15000;3;4;5;4;1;4;5;Male;City;25;52500;Yes

